section,chunk_id,page,text_preview
Other,d8bcc982-9ded-49e6-908f-329672e06252,0,"## Description  The image is a logo for ""CONCENTRIQ."" The text is in uppercase, bold, and blue. The letter ""Q"" is styliz..."
Other,c423b532-9528-44e8-8968-105f113f69bf,0,"## Description  The image is a logo for ""PROSCIA."" The logo consists of the word ""PROSCIA"" in uppercase letters, written..."
Other,fd59d33c-7c19-40cd-806d-0d289e193a81,0,"# Easy to deploy, easy to support..."
Other,95aee708-cc1f-48f3-aba6-0add74782877,0,## Concentriq Integration  Concentriq is designed to work well within your existing IT environment. Key capabilities inc...
Other,04b9cd8b-d1a7-49e1-8487-5ee4f78b51b2,0,## Secure Data Management  ### Comprehensive data encryption  Prosica software offers end-to-end encryption of data in t...
Other,7c50f963-9165-4c7e-bfb1-6c1984269d7d,0,## No data storage of end-user workstations  Concentriq simplifies the auditing process and helps prevent data sprawl by...
Other,c864f67c-f045-49c4-b136-51c39d1fd869,0,## Regulatory compliance  Proscia software supports compliance with HIPAA and GDPR regulations pertaining to data securi...
Other,c08e5dca-7945-43d5-90bf-547c86f176df,0,## SIMPLIFIED USER SUPPORT  **Automatic user provisioning via SAML SSO integration**  Save administrative time and reduc...
Other,310e2e45-3a23-4570-a913-6627073ea823,0,## Low bandwidth requirements for browser-based viewing  Users can view full-resolution pathology images through the bro...
Other,9766700d-07aa-4a45-8e7c-77312b5c2ba2,0,## Leading Interoperability  Leading interoperability with the industry's most comprehensive integration engine....
Other,e7136eea-7ebf-4b02-9ece-6dc545e42afc,0,"### Whole Slide Scanners  - **Philips** - **Leica** - **3DHISTECH** - **Hamamatsu** - **Epredia**  ### LIS, EHR and Ente..."
Other,d3b97ab0-ec50-4e25-a443-690e88f8685c,0,"### Page Number  The image shows the number ""02"" in a stylized font, indicating it is likely a page number from a docume..."
Other,8ad8287e-efeb-4a43-be38-bcf6b44cf4f6,1,"## Figure Description  The image is a logo for ""CONCENTRIQ"". The text is in uppercase, bold, and dark blue. The letter ""..."
Other,2e758bd9-1b41-4df0-aaeb-458c72b1ce5c,1,"## Deployment Flexibility  **Runs on Red Hat Enterprise Linux (RHEL), Ubuntu Linux**  Concentriq can be deployed on both..."
Other,30c17805-f4bb-44b9-a4bd-551dca0323d9,1,## Support for tiered data storage platforms to reduce costs  Optimize storage costs with support for data storage tieri...
Other,58582e0a-dd93-4684-b8e8-16d280d2fe88,1,"## Description  The image is a logo for ""PROSCIA."" The logo consists of the word ""PROSCIA"" in uppercase letters, written..."
Other,a75739e2-b3ea-49aa-842f-444a0ab121e5,1,## Powerful Integration Support  **Compatible with barcoding and file naming conventions**  Concentriq maintains origina...
Other,96b71154-79d2-4127-9a5f-cf2e4610df32,1,## High-performance parallel image processing  Scalable parallel image processing and support for cloud autoscaling serv...
Other,cb5dd7a6-2786-4403-a2d7-2f9f9cdd0c8d,1,## Robust and comprehensive restful API  Concentriq supports all the integrations needed today - from LIS to scanners to...
Other,51e9fb72-1b1a-4b55-8a07-f730490b657e,1,## Concentriq connects the digital pathology ecosystem...
Other,5511859d-81ba-4859-a7a6-437af8bd8a5c,1,"## Description of the Figure  The figure is centered around the concept of ""CONCENTRIQ,"" which is described as ""The cent..."
Other,833aa140-f510-4b21-ab6c-453c6b311b75,1,## Page Number  03...
General Info,5634fbb8-3dda-4b01-b4a8-222279aab2f8,0,## High-performance image rendering  Concentriq is designed to provide immediate access to large volumes of images and p...
General Info,0bf64989-233d-4079-ae35-8d2384268d7d,1,"## No end-user software to install or required browser plugins  Concentriq is entirely browser-based for the end user, w..."
